Application_ID,Customer_ID,Application_Date,Applicant_Age,Employment,Annual_Income_INR,Loan_Amount_INR,Credit_Score,Previous_Loans,Existing_Debt_INR,Loan_Term_Months,Debt_to_Income_Ratio,Interest_Rate_Pct,Loan_Purpose,Education,Branch,Approval_Status,Default_Status,Risk_Category
LOAN20168,CUST10168,12-04-2025,57,Self-Employed,473500,50000,741,3,53900,84,0.13,8.2,Home,Graduate,Bengaluru,Approved,No Default,Medium Risk
LOAN20169,CUST10169,02-07-2025,36,Unemployed,154200,96000,524,2,36900,60,0.377,12.82,Personal,Postgraduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20170,CUST10170,16-06-2023,30,Salaried,1096700,146000,823,3,215400,36,0.245,6.65,Personal,High School,Mumbai,Approved,No Default,Low Risk
LOAN20171,CUST10171,27-10-2023,29,Unemployed,120000,61000,624,0,54700,36,0.636,11,Personal,Diploma,Kolkata,Rejected,Not Applicable,High Risk
LOAN20172,CUST10172,19-09-2025,30,Salaried,2500000,945000,849,0,900000,60,0.441,8.1,Personal,Postgraduate,Ahmedabad,Rejected,Not Applicable,Medium Risk
LOAN20173,CUST10173,28-04-2023,37,Contract,735100,246000,730,0,341000,60,0.533,11.26,Home,Graduate,Mumbai,Approved,No Default,Medium Risk
LOAN20174,CUST10174,26-05-2024,41,Business Owner,871600,407000,640,3,383900,60,0.537,11.07,Education,Diploma,Mumbai,Rejected,Not Applicable,High Risk
LOAN20175,CUST10175,03-09-2024,41,Self-Employed,631100,193000,627,0,48800,48,0.161,9.44,Home,High School,Delhi,Rejected,Not Applicable,High Risk
LOAN20176,CUST10176,24-02-2025,46,Business Owner,898000,470000,669,2,452000,60,0.615,11.02,Business,High School,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20177,CUST10177,24-06-2023,38,Contract,568600,170000,622,1,105600,36,0.293,11.31,Personal,Graduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20178,CUST10178,08-06-2023,53,Salaried,772800,269000,638,1,380400,36,0.618,11.68,Education,High School,Kolkata,Rejected,Not Applicable,High Risk
LOAN20179,CUST10179,19-01-2024,35,Salaried,740300,273000,760,0,155800,60,0.288,8.15,Vehicle,Graduate,Bengaluru,Rejected,Not Applicable,Low Risk
LOAN20180,CUST10180,15-08-2023,65,Self-Employed,676500,96000,662,2,201800,84,0.32,10.4,Medical,Graduate,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20181,CUST10181,23-07-2025,44,Business Owner,712200,308000,704,0,201000,36,0.437,10.26,Personal,Graduate,Mumbai,Approved,No Default,Medium Risk
LOAN20182,CUST10182,07-02-2023,29,Business Owner,728200,276000,655,1,406100,48,0.659,12.24,Business,Graduate,Delhi,Approved,No Default,High Risk
LOAN20183,CUST10183,07-04-2024,27,Business Owner,713100,90000,585,1,82100,60,0.143,10.91,Education,Postgraduate,Chennai Central,Approved,No Default,High Risk
LOAN20184,CUST10184,06-03-2024,43,Salaried,977100,170000,730,0,414700,60,0.462,9.56,Education,Diploma,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20185,CUST10185,10-12-2024,36,Business Owner,1041100,184000,612,2,138300,72,0.165,9.21,Business,Diploma,Mumbai,Approved,No Default,High Risk
LOAN20186,CUST10186,09-10-2024,45,Salaried,138200,50000,631,0,86000,60,0.703,13.3,Personal,Postgraduate,Pune,Rejected,Not Applicable,High Risk
LOAN20187,CUST10187,14-04-2023,43,Self-Employed,87666,305000,622,2,520900,12,0.967,13.98,Personal,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20188,CUST10188,08-09-2025,37,Salaried,622600,183000,791,1,235100,84,0.424,9.77,Personal,Postgraduate,Mumbai,Approved,No Default,Medium Risk
LOAN20189,CUST10189,12-07-2023,30,Salaried,561900,178000,726,4,175700,60,0.379,9.96,Personal,Graduate,Delhi,Rejected,Not Applicable,Medium Risk
LOAN20190,CUST10190,07-09-2023,23,Salaried,470500,165000,673,1,270000,72,0.634,11.46,Personal,Diploma,Ahmedabad,Rejected,Not Applicable,High Risk
LOAN20191,CUST10191,13-01-2023,34,Salaried,972600,409000,785,0,390800,60,0.49,7.74,Education,Postgraduate,Hyderabad,Rejected,Not Applicable,Medium Risk
LOAN20192,CUST10192,20-07-2024,47,Business Owner,1233900,130000,689,3,411600,72,0.352,8.8,Vehicle,Postgraduate,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20193,CUST10193,05-05-2025,40,Salaried,391300,152000,689,2,195400,24,0.715,12.4,Business,Postgraduate,Delhi,Approved,No Default,High Risk
LOAN20194,CUST10194,19-08-2024,26,Salaried,689300,353000,699,0,341800,36,0.682,11.69,Education,Diploma,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20195,CUST10195,12-09-2024,40,Salaried,355700,50000,670,0,36700,72,0.127,10.72,Personal,Graduate,Chennai Central,Approved,No Default,Medium Risk
LOAN20196,CUST10196,08-07-2024,42,Salaried,292400,86000,720,1,113300,36,0.49,10.84,Personal,Graduate,Mumbai,Approved,No Default,Medium Risk
LOAN20197,CUST10197,23-01-2024,29,Salaried,419700,183000,702,3,130200,24,0.538,10.32,Medical,Diploma,Chennai Central,Approved,No Default,Medium Risk
LOAN20198,CUST10198,12-03-2023,40,Salaried,857700,404000,720,2,82700,60,0.199,7.1,Vehicle,Graduate,Chennai Central,Rejected,Not Applicable,Medium Risk
LOAN20199,CUST10199,13-08-2025,39,Self-Employed,1023900,306000,619,0,563400,60,0.616,12.9,Vehicle,Diploma,Delhi,Approved,No Default,High Risk
LOAN20200,CUST10200,18-02-2025,27,Self-Employed,829000,100000,638,1,268700,36,0.369,10.28,Business,Graduate,Hyderabad,Approved,No Default,High Risk
LOAN20201,CUST10201,24-07-2024,42,Self-Employed,917800,90000,693,1,84000,72,0.11,8.92,Business,Graduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20202,CUST10202,30-08-2025,44,Salaried,726400,50000,697,1,332600,60,0.472,10.77,Personal,Diploma,Pune,Approved,No Default,Medium Risk
LOAN20203,CUST10203,13-03-2024,49,Salaried,416700,134000,599,2,260000,60,0.692,12.58,Vehicle,Graduate,Mumbai,Approved,No Default,High Risk
LOAN20204,CUST10204,13-02-2023,49,Contract,544800,96000,782,0,344300,60,0.669,9.04,Vehicle,Graduate,Mumbai,Approved,No Default,High Risk
LOAN20205,CUST10205,29-09-2023,24,Self-Employed,951500,416000,786,0,606800,48,0.754,9.72,Personal,Graduate,Delhi,Approved,No Default,High Risk
LOAN20206,CUST10206,20-06-2025,29,Salaried,814400,403000,733,1,416200,36,0.695,9.05,Business,Graduate,Chennai Central,Approved,No Default,High Risk
LOAN20207,CUST10207,14-01-2023,43,Salaried,1003300,229000,722,1,47600,36,0.13,7.8,Business,Postgraduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20208,CUST10208,06-01-2024,43,Salaried,796600,147000,686,0,192700,60,0.282,9.04,Home,Graduate,Kolkata,Rejected,Not Applicable,Medium Risk
LOAN20209,CUST10209,22-04-2023,43,Salaried,671200,255000,634,2,358100,60,0.615,11.96,Vehicle,Diploma,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20210,CUST10210,14-01-2024,65,Salaried,947700,510000,717,3,280100,60,0.407,9.06,Vehicle,Diploma,Chennai Central,Approved,Default,Medium Risk
LOAN20211,CUST10211,10-11-2023,44,Self-Employed,639800,203000,687,1,270500,60,0.489,10.28,Medical,Graduate,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20212,CUST10212,19-02-2024,49,Self-Employed,424400,57000,584,0,204300,60,0.51,12.27,Personal,Postgraduate,Pune,Approved,Default,High Risk
LOAN20213,CUST10213,09-01-2025,48,Self-Employed,599200,181000,687,2,169700,60,0.349,11.83,Vehicle,Postgraduate,Pune,Approved,No Default,Medium Risk
LOAN20214,CUST10214,29-04-2024,45,Business Owner,547600,245000,661,2,292100,36,0.69,12.58,Home,Graduate,Ahmedabad,Rejected,Not Applicable,High Risk
LOAN20215,CUST10215,18-06-2023,35,Business Owner,566300,328000,566,2,136300,12,0.875,14.32,Personal,Graduate,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20216,CUST10216,06-06-2025,46,Business Owner,730500,81000,639,3,244000,72,0.354,11.37,Home,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20217,CUST10217,13-03-2025,30,Unemployed,140300,50000,552,1,85600,24,0.8,15.1,Business,Postgraduate,Pune,Rejected,Not Applicable,High Risk
LOAN20218,CUST10218,03-09-2023,36,Salaried,489100,20000,772,2,144900,36,0.462,9.28,Personal,Postgraduate,Pune,Approved,No Default,Medium Risk
LOAN20219,CUST10219,23-09-2023,33,Salaried,346902,50000,674,2,0,60,0.047,8.33,Vehicle,Postgraduate,Delhi,Rejected,Not Applicable,Medium Risk
LOAN20220,CUST10220,28-04-2025,39,Salaried,628100,222000,608,1,206400,48,0.425,11.75,Vehicle,Postgraduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20221,CUST10221,31-08-2023,61,Self-Employed,648400,84000,701,2,344200,72,0.555,9.92,Business,Postgraduate,Pune,Approved,No Default,Medium Risk
LOAN20222,CUST10222,31-10-2024,21,Contract,299100,120000,540,1,171000,36,0.721,14,Education,Postgraduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20223,CUST10223,27-10-2023,45,Salaried,778100,147000,756,2,411800,12,0.73,10.28,Education,Diploma,Pune,Approved,No Default,High Risk
LOAN20224,CUST10224,08-08-2025,22,Contract,694500,335000,637,1,370000,36,0.704,13.29,Medical,Graduate,Pune,Rejected,Not Applicable,High Risk
LOAN20225,CUST10225,23-11-2023,33,Salaried,262100,50000,641,0,27200,60,0.144,9.5,Business,Diploma,Coimbatore,Approved,No Default,High Risk
LOAN20226,CUST10226,13-06-2024,49,Contract,307000,50000,699,0,196200,36,0.696,10.6,Business,Postgraduate,Pune,Approved,No Default,High Risk
LOAN20227,CUST10227,17-08-2024,39,Salaried,392000,101000,588,0,230900,60,0.645,12.52,Home,Diploma,Delhi,Rejected,Not Applicable,High Risk
LOAN20228,CUST10228,26-04-2025,27,Salaried,361100,118000,579,0,77500,72,0.275,11.29,Home,Postgraduate,Pune,Approved,No Default,High Risk
LOAN20229,CUST10229,12-01-2025,31,Self-Employed,964900,283000,672,1,112900,72,0.169,9.43,Home,Graduate,Mumbai,Approved,No Default,Medium Risk
LOAN20230,CUST10230,08-12-2023,45,Salaried,516600,232000,728,0,355000,36,0.844,11.63,Education,Postgraduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20231,CUST10231,03-02-2025,31,Salaried,499400,227000,586,0,292500,48,0.706,12.75,Personal,Graduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20232,CUST10232,09-11-2024,40,Salaried,216700,50000,486,1,110000,60,0.557,14.67,Education,Postgraduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20233,CUST10233,07-07-2024,38,Business Owner,1062200,425000,694,2,617700,84,0.642,11.28,Personal,Graduate,Pune,Rejected,Not Applicable,High Risk
LOAN20234,CUST10234,06-09-2023,31,Self-Employed,357500,92000,676,0,128100,84,0.397,10.96,Education,Diploma,Kolkata,Rejected,Not Applicable,Medium Risk
LOAN20235,CUST10235,29-01-2025,59,Salaried,583500,247000,744,4,267700,36,0.613,9.99,Vehicle,Postgraduate,Mumbai,Approved,No Default,High Risk
LOAN20236,CUST10236,07-08-2025,44,Self-Employed,740300,171000,657,0,249800,60,0.385,11.48,Medical,Postgraduate,Mumbai,Rejected,Not Applicable,Medium Risk
LOAN20237,CUST10237,15-01-2024,21,Business Owner,1504500,639000,739,1,120700,36,0.233,9.02,Education,Graduate,Bengaluru,Approved,No Default,Medium Risk
LOAN20238,CUST10238,08-03-2025,40,Salaried,302500,50000,714,0,160300,12,0.712,11.36,Vehicle,High School,Chennai Central,Approved,No Default,High Risk
LOAN20239,CUST10239,15-06-2024,31,Salaried,133100,96000,531,0,47800,12,1.119,15.58,Education,Diploma,Kochi,Rejected,Not Applicable,High Risk
LOAN20240,CUST10240,12-06-2025,47,Salaried,619300,233000,660,0,305300,48,0.595,11.82,Home,Diploma,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20241,CUST10241,13-05-2025,30,Salaried,1345600,600000,762,1,492400,48,0.487,9.62,Vehicle,Graduate,Pune,Approved,No Default,Medium Risk
LOAN20242,CUST10242,16-01-2024,37,Business Owner,1419200,288000,778,1,489600,12,0.566,8.88,Vehicle,Postgraduate,Pune,Approved,No Default,Medium Risk
LOAN20243,CUST10243,11-02-2023,43,Salaried,627000,201000,654,1,101400,60,0.23,11.2,Personal,Graduate,Mumbai,Approved,No Default,Medium Risk
LOAN20244,CUST10244,11-12-2023,47,Self-Employed,511800,78000,663,1,118600,36,0.286,12.41,Business,Postgraduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20245,CUST10245,21-08-2024,26,Business Owner,1153500,429000,591,2,177700,60,0.236,10.88,Personal,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20246,CUST10246,18-09-2023,35,Salaried,355300,89000,619,1,13800,36,0.131,10.1,Home,Postgraduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20247,CUST10247,02-11-2023,33,Self-Employed,814500,487000,715,0,508700,36,0.836,11.22,Personal,Postgraduate,Ahmedabad,Rejected,Not Applicable,High Risk
LOAN20248,CUST10248,19-03-2025,31,Salaried,722700,318000,637,2,65400,48,0.205,9.41,Home,Graduate,Ahmedabad,Approved,No Default,High Risk
LOAN20249,CUST10249,11-05-2025,56,Unemployed,341300,68000,598,4,104200,36,0.374,11.13,Personal,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20250,CUST10250,28-08-2023,42,Self-Employed,2437000,1000000,850,0,900000,60,0.455,8.3,Personal,Diploma,Chennai Central,Rejected,Not Applicable,Medium Risk
LOAN20251,CUST10251,09-11-2024,25,Business Owner,945300,359000,689,1,388500,36,0.548,10.82,Home,Graduate,Chennai Central,Approved,No Default,Medium Risk
LOAN20252,CUST10252,09-11-2023,47,Self-Employed,507500,60000,670,1,94700,60,0.211,11.42,Business,Diploma,Hyderabad,Rejected,Not Applicable,Medium Risk
LOAN20253,CUST10253,31-12-2024,59,Salaried,560100,99000,622,1,305300,24,0.639,12.23,Business,Graduate,Kolkata,Approved,No Default,High Risk
LOAN20254,CUST10254,16-03-2024,48,Self-Employed,277200,86000,627,1,116200,60,0.487,12.1,Business,Graduate,Delhi,Approved,No Default,High Risk
LOAN20255,CUST10255,21-07-2025,23,Unemployed,147000,99000,609,1,26500,60,0.323,10.7,Education,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20256,CUST10256,21-06-2025,33,Self-Employed,532400,283000,671,0,110500,24,0.5,10.93,Personal,Postgraduate,Ahmedabad,Rejected,Not Applicable,Medium Risk
LOAN20257,CUST10257,13-05-2023,51,Business Owner,608800,226000,643,1,329500,48,0.643,12.17,Business,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20258,CUST10258,19-12-2024,31,Contract,476400,130000,655,0,242600,24,0.653,10.24,Vehicle,Diploma,Hyderabad,Approved,No Default,High Risk
LOAN20259,CUST10259,20-02-2023,42,Salaried,382100,183000,697,1,174500,60,0.562,10.14,Business,Graduate,Kolkata,Approved,No Default,Medium Risk
LOAN20260,CUST10260,09-09-2024,46,Salaried,971100,204000,602,3,93600,36,0.173,11.47,Home,Graduate,Ahmedabad,Rejected,Not Applicable,High Risk
LOAN20261,CUST10261,27-01-2024,29,Self-Employed,648100,323000,738,2,158000,60,0.35,9.68,Home,Postgraduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20262,CUST10262,26-11-2024,37,Salaried,564500,134000,657,2,246500,60,0.486,10.22,Personal,Graduate,Delhi,Rejected,Not Applicable,Medium Risk
LOAN20263,CUST10263,13-12-2024,21,Contract,378300,136000,656,0,58900,72,0.22,9.88,Personal,Diploma,Kochi,Rejected,Not Applicable,Medium Risk
LOAN20264,CUST10264,06-06-2024,28,Contract,477000,140000,708,2,153100,60,0.386,8.01,Business,Graduate,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20265,CUST10265,04-02-2025,35,Salaried,842500,225000,627,0,356000,60,0.481,11.73,Medical,Graduate,Delhi,Approved,No Default,High Risk
LOAN20266,CUST10266,22-05-2024,26,Salaried,374000,207000,618,1,72500,48,0.339,12.34,Home,Postgraduate,Kolkata,Approved,No Default,High Risk
LOAN20267,CUST10267,23-10-2024,54,Business Owner,570900,211000,656,2,307500,84,0.596,12.72,Education,High School,Hyderabad,Approved,No Default,Medium Risk
LOAN20268,CUST10268,20-12-2023,24,Salaried,490100,276000,625,1,262500,60,0.656,13.49,Business,Graduate,Kochi,Approved,No Default,High Risk
LOAN20269,CUST10269,16-05-2025,34,Business Owner,410400,63000,751,1,77800,36,0.245,8.98,Home,Diploma,Delhi,Approved,No Default,Low Risk
LOAN20270,CUST10270,30-08-2025,39,Salaried,382600,106000,611,3,226000,72,0.641,13.59,Personal,Graduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20271,CUST10271,30-01-2024,52,,515600,343000,631,1,95100,48,0.363,11.04,Vehicle,Diploma,Coimbatore,Approved,No Default,High Risk
LOAN20272,CUST10272,13-08-2025,24,Salaried,862700,329000,716,1,494900,60,0.658,10.43,Home,Postgraduate,Bengaluru,Approved,No Default,High Risk
LOAN20273,CUST10273,06-04-2023,50,Self-Employed,735000,177000,616,2,127200,60,0.226,11.83,Education,Graduate,Pune,Approved,No Default,High Risk
LOAN20274,CUST10274,16-04-2023,38,Salaried,622200,140000,660,1,49100,36,0.16,10.09,Vehicle,Postgraduate,Chennai Central,Rejected,Not Applicable,Medium Risk
LOAN20275,CUST10275,16-10-2024,28,Self-Employed,974900,268000,723,0,384200,60,0.451,8.46,Business,Graduate,Kolkata,Approved,No Default,Medium Risk
LOAN20276,CUST10276,08-11-2024,43,Salaried,530800,144000,654,1,214100,36,0.503,12.31,Personal,Graduate,Hyderabad,Rejected,Not Applicable,Medium Risk
LOAN20277,CUST10277,27-05-2024,40,Business Owner,944400,494000,702,2,613000,36,0.843,11.66,Personal,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20278,CUST10278,11-07-2024,32,Contract,421400,215000,608,1,151500,36,0.537,11.77,Vehicle,Postgraduate,Chennai Central,Approved,No Default,High Risk
LOAN20279,CUST10279,30-08-2023,39,Salaried,644000,79000,600,1,134800,60,0.236,12.03,Education,High School,Kolkata,Approved,No Default,High Risk
LOAN20280,CUST10280,05-05-2025,34,Salaried,428600,293000,680,0,121300,36,0.523,11.63,Home,Graduate,Coimbatore,Approved,Default,Medium Risk
LOAN20281,CUST10281,27-07-2025,39,Salaried,175900,143000,735,1,30300,12,1.065,11.36,Vehicle,Postgraduate,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20282,CUST10282,02-05-2024,45,Self-Employed,607600,216000,671,0,113900,60,0.265,9.96,Home,Postgraduate,Delhi,Approved,No Default,Medium Risk
LOAN20283,CUST10283,28-02-2025,54,Self-Employed,1282800,393000,747,2,595400,36,0.571,9.21,Education,Diploma,Mumbai,Approved,No Default,Medium Risk
LOAN20284,CUST10284,29-05-2024,26,Self-Employed,1010800,369000,747,3,551300,24,0.748,9.94,Vehicle,Graduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20285,CUST10285,15-10-2024,59,Salaried,901200,332000,638,4,502700,36,0.686,9.97,Vehicle,Postgraduate,Delhi,Approved,No Default,High Risk
LOAN20286,CUST10286,16-06-2025,21,Salaried,1026300,303000,814,0,657900,36,0.749,8.63,Home,Graduate,Bengaluru,Approved,No Default,High Risk
LOAN20287,CUST10287,02-03-2023,36,Self-Employed,676200,313000,688,1,176400,48,0.385,10.12,Personal,Graduate,Kolkata,Approved,No Default,Medium Risk
LOAN20288,CUST10288,20-02-2024,44,Self-Employed,712400,147000,770,1,331600,12,0.684,7.71,Personal,Graduate,Kochi,Approved,No Default,High Risk
LOAN20289,CUST10289,21-10-2023,41,Unemployed,152600,50000,536,2,94600,84,0.669,13.03,Home,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20290,CUST10290,06-01-2025,32,Salaried,487200,189000,768,0,272100,60,0.64,10.32,Medical,Graduate,Bengaluru,Approved,No Default,High Risk
LOAN20291,CUST10291,29-10-2023,36,Business Owner,1052300,168000,760,3,349900,36,0.39,7.85,Home,Postgraduate,Kochi,Approved,No Default,Low Risk
LOAN20292,CUST10292,19-06-2023,33,Salaried,1010500,450000,749,1,638600,36,0.792,10.66,Business,Graduate,Chennai Central,Approved,No Default,High Risk
LOAN20293,CUST10293,07-10-2024,32,Salaried,530300,258000,685,0,275900,48,0.647,10.03,Home,Postgraduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20294,CUST10294,10-02-2023,46,Business Owner,630800,373000,663,1,383400,60,0.731,12.42,Business,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20295,CUST10295,19-08-2023,42,Business Owner,783200,274000,758,0,402600,24,0.695,9.98,Home,High School,Delhi,Approved,No Default,High Risk
LOAN20296,CUST10296,13-02-2024,31,Unemployed,273800,63000,595,0,194000,36,0.793,12.83,Personal,Diploma,Kochi,Rejected,Not Applicable,High Risk
LOAN20297,CUST10297,07-01-2025,47,Salaried,283500,80000,541,1,183100,72,0.697,12.04,Vehicle,Graduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20298,CUST10298,12-10-2024,41,Salaried,188300,50000,578,1,65200,36,0.438,11.73,Personal,Graduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20299,CUST10299,13-09-2024,46,Business Owner,601200,315000,664,0,89300,36,0.337,11.03,Vehicle,Postgraduate,Mumbai,Rejected,Not Applicable,Medium Risk
LOAN20300,CUST10300,23-09-2025,44,Self-Employed,360700,50000,663,2,67400,72,0.211,11.25,Home,Graduate,Coimbatore,Approved,No Default,Medium Risk
LOAN20301,CUST10301,24-10-2023,30,Salaried,444300,131000,661,1,30300,60,0.134,9.56,Personal,Graduate,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20302,CUST10302,30-03-2024,32,Salaried,528200,179000,739,1,180000,36,0.466,9.58,Home,Graduate,Bengaluru,Approved,No Default,Medium Risk
LOAN20303,CUST10303,26-02-2023,45,Salaried,456100,207000,558,3,152500,60,0.434,12.25,Business,Diploma,Kolkata,Rejected,Not Applicable,High Risk
LOAN20304,CUST10304,30-07-2025,44,Contract,889200,473000,690,1,350200,12,0.986,13.61,Home,Diploma,Kolkata,Rejected,Not Applicable,High Risk
LOAN20305,CUST10305,26-09-2024,38,Salaried,663300,175000,585,2,439100,60,0.72,13.26,Vehicle,Postgraduate,Kolkata,Rejected,Not Applicable,High Risk
LOAN20306,CUST10306,28-08-2023,39,Contract,655000,168000,726,1,425400,48,0.72,11.63,Personal,Graduate,Kochi,Rejected,Not Applicable,High Risk
LOAN20307,CUST10307,20-08-2024,51,Salaried,764300,132000,690,2,87600,60,0.152,9.49,Vehicle,High School,Bengaluru,Approved,No Default,Medium Risk
LOAN20308,CUST10308,25-06-2023,32,Salaried,328200,146000,676,0,80500,84,0.312,10.28,Education,High School,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20309,CUST10309,04-03-2023,43,Salaried,933700,145000,664,1,303200,72,0.352,9.74,Personal,High School,Hyderabad,Approved,No Default,Medium Risk
LOAN20310,CUST10310,04-07-2024,36,Self-Employed,624900,188000,742,0,177600,72,0.337,10.52,Business,Graduate,Hyderabad,Approved,No Default,Medium Risk
LOAN20311,CUST10311,18-05-2023,36,Salaried,782300,298000,754,0,452200,60,0.661,11.34,Business,Graduate,Kolkata,Rejected,Not Applicable,High Risk
LOAN20312,CUST10312,07-09-2025,49,Business Owner,468100,66000,694,2,181100,36,0.436,12.17,Vehicle,Postgraduate,Kochi,Approved,No Default,Medium Risk
LOAN20313,CUST10313,29-03-2024,46,Salaried,269000,53000,640,1,152000,48,0.617,11.17,Vehicle,Diploma,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20314,CUST10314,22-01-2025,46,Self-Employed,959600,483000,736,0,552600,60,0.684,10.8,Vehicle,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20315,CUST10315,24-03-2024,51,Contract,530500,284000,609,2,309600,72,0.677,12.21,Education,Graduate,Ahmedabad,Rejected,Not Applicable,High Risk
LOAN20316,CUST10316,14-08-2023,38,Self-Employed,420300,76000,699,1,46300,36,0.175,9.57,Personal,Diploma,Kochi,Rejected,Not Applicable,Medium Risk
LOAN20317,CUST10317,18-03-2024,45,Self-Employed,426900,50000,743,3,204600,72,0.501,9.96,Vehicle,Diploma,Bengaluru,Approved,No Default,Medium Risk
LOAN20318,CUST10318,25-07-2023,35,Salaried,973200,202000,774,0,325700,60,0.38,8.36,Vehicle,Graduate,Ahmedabad,Approved,No Default,Low Risk
LOAN20319,CUST10319,06-11-2024,41,Salaried,320400,181000,612,1,113000,84,0.441,11.66,Vehicle,Diploma,Hyderabad,Approved,No Default,High Risk
LOAN20320,CUST10320,27-01-2023,37,Self-Employed,1425600,796000,769,2,132300,72,0.194,9.7,Personal,Postgraduate,Chennai Central,Approved,No Default,Low Risk
LOAN20321,CUST10321,01-04-2024,39,Unemployed,133200,64000,503,1,43500,36,0.499,13.93,Business,Diploma,Pune,Rejected,Not Applicable,High Risk
LOAN20322,CUST10322,25-11-2024,44,Self-Employed,880300,205000,728,1,266200,24,0.424,7.93,Personal,Graduate,Pune,Rejected,Not Applicable,Medium Risk
LOAN20323,CUST10323,10-12-2024,30,Self-Employed,553400,312000,689,0,56400,24,0.415,9.93,Vehicle,Graduate,Chennai Central,Approved,No Default,Medium Risk
LOAN20324,CUST10324,17-09-2025,59,Business Owner,1045900,279000,614,1,452700,36,0.526,11.28,Personal,Graduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20325,CUST10325,28-04-2025,28,Salaried,436700,50000,600,0,240500,60,0.574,11.86,Personal,Graduate,Kolkata,Rejected,Not Applicable,High Risk
LOAN20326,CUST10326,06-08-2025,26,Salaried,524400,93000,656,0,103600,60,0.236,10.81,Home,Postgraduate,Pune,Rejected,Not Applicable,Medium Risk
LOAN20327,CUST10327,17-04-2023,50,Self-Employed,660900,87000,659,2,67800,72,0.126,10.45,Home,Graduate,Coimbatore,Approved,No Default,Medium Risk
LOAN20328,CUST10328,19-03-2024,46,Unemployed,126800,100000,507,1,72500,60,0.74,14.26,Home,High School,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20329,CUST10329,01-12-2024,44,Salaried,809100,249000,721,2,59600,12,0.391,9.25,Vehicle,Graduate,Chennai Central,Approved,No Default,Medium Risk
LOAN20330,CUST10330,05-02-2023,44,Business Owner,612000,268000,689,1,354300,36,0.731,11.06,Business,Graduate,Hyderabad,Approved,No Default,High Risk
LOAN20331,CUST10331,19-08-2024,38,Salaried,508100,180000,660,3,231000,24,0.64,12.99,Education,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20332,CUST10332,04-06-2023,29,Self-Employed,402100,266000,609,1,122600,36,0.533,13.01,Vehicle,Postgraduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20333,CUST10333,18-06-2023,39,Salaried,165700,57000,695,0,63300,60,0.457,10.96,Business,Graduate,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20334,CUST10334,06-03-2025,31,Salaried,517300,232000,762,1,79000,12,0.648,9.15,Business,Diploma,Delhi,Approved,No Default,High Risk
LOAN20335,CUST10335,29-09-2023,48,Business Owner,2492900,1000000,830,3,483000,36,0.336,6.5,Personal,Graduate,Hyderabad,Approved,No Default,Low Risk
